Step,Time,Uncertainty
1,162.26449513435364,0.030300908022654595
2,100.47549796104431,0.029914701863240627
3,49.73376202583313,0.029680562289954197
4,52.276912212371826,0.029496516393756573
5,53.87233090400696,0.029261976311725946
6,73.20298409461975,0.029112836049517365
7,79.0887439250946,0.02883816117271904
8,72.19743990898132,0.02866943818423439
9,69.51190876960754,0.028491127899227708
10,52.12137174606323,0.02837074356896094
11,61.93652105331421,0.02820317794533096
12,80.34750413894653,0.027920149411095784
13,76.4314079284668,0.027659863063089006
14,127.72465825080872,0.02739384390967316
15,62.834319829940796,0.02723282119723009
16,39.242565870285034,0.02707151138450668
17,65.72735786437988,0.026880065426114656
18,69.66440892219543,0.026695851932110954
19,82.52892112731934,0.02625911949048524
20,112.13464403152466,0.026096377035085813
21,101.33612298965454,0.025855215927623344
22,105.34684300422668,0.025646945824594935
23,84.23394775390625,0.025519328232687592
24,91.79649996757507,0.02536666126602777
25,101.14628481864929,0.025197261492075133
26,79.23719906806946,0.024971388925580974
27,47.40721893310547,0.02481483908665561
28,59.89231610298157,0.02467833140203618
29,62.58245086669922,0.024538150006790778
30,47.88132405281067,0.024179140541446802
31,59.19966411590576,0.024006812255879
32,84.62744307518005,0.023829683604232706
