Step,Time,Uncertainty
1,380.4363079071045,0.06703719295478847
2,109.86893892288208,0.06616576833908569
3,89.72969174385071,0.06581326617987272
4,124.65011382102966,0.06489575342077322
5,120.04816675186157,0.06442342669752862
6,187.28614687919617,0.06401077815108548
7,94.47553706169128,0.06389300747945292
8,84.24720001220703,0.06347689691458208
9,163.4046950340271,0.06298549806754024
10,92.65667486190796,0.0626484218743869
11,97.85205602645874,0.06227828124445433
12,108.58283591270447,0.06169355173709895
13,109.68656802177429,0.06131800485678609
14,176.8730161190033,0.060799008011977115
15,111.03742408752441,0.060263484241052115
16,118.24466609954834,0.059881310512435955
17,82.63407063484192,0.05927755088265888
18,104.26750493049622,0.05907246020412433
19,93.90096187591553,0.05888596774272359
20,62.178818225860596,0.05850561217251045
21,75.17343997955322,0.058298421086095696
22,121.32737994194031,0.057781142260326976
23,93.10019087791443,0.057491250095013054
24,132.91562795639038,0.057193704025718155
25,77.09602785110474,0.05671490482433789
26,73.34147500991821,0.05649630849110824
27,281.6482980251312,0.056304812006846304
28,114.40029501914978,0.056093608649453994
29,116.02461910247803,0.05587773322918798
30,121.87961077690125,0.05558403613936335
31,114.9572069644928,0.055368145966263375
32,127.53293800354004,0.05499775203011618
33,135.4339509010315,0.054811834045588335
34,142.46909189224243,0.05457634272463615
35,134.42345595359802,0.05434060833292295
36,128.23286294937134,0.054001434706141535
37,131.439044713974,0.053637982417715176
38,158.26708316802979,0.0534271771079799
39,141.15436100959778,0.05310643036638573
40,165.5844268798828,0.052745003255804286
41,135.61889505386353,0.05258648917343822
42,120.85008573532104,0.05225146022933263
43,138.05346703529358,0.05204998422596836
44,99.54682493209839,0.05190658875862372
45,98.62637090682983,0.051711494225270244
46,104.76207184791565,0.051494477635528814
47,99.64725995063782,0.05137326138709302
48,139.01810908317566,0.051165032228543746
49,128.99770283699036,0.05101887544459783
50,138.8207619190216,0.05095997297653788
51,143.31127095222473,0.05074683723096113
52,140.5273449420929,0.050469387043395264
53,161.2595250606537,0.05023338746585679
54,155.78219318389893,0.049953800075959294
