Step,Time,Uncertainty
1,155.98927426338196,0.10609207870357008
2,43.48987793922424,0.1016380495222364
3,43.612293004989624,0.09682821787443367
4,74.82484126091003,0.09315899910292408
5,95.63732600212097,0.08861302338907547
6,99.23594903945923,0.08458421624043817
7,145.69333386421204,0.08099371381737899
8,49.16665172576904,0.07775326566919712
9,92.06828474998474,0.07444303288393986
10,83.89123582839966,0.0719503118084935
11,75.78930020332336,0.06985153427839684
12,143.37502002716064,0.06758831190296813
13,138.32698917388916,0.06512016173119643
14,48.49475574493408,0.06358674171507694
15,71.65903687477112,0.061885997810846374
16,53.03781509399414,0.06041955284905858
17,103.99127006530762,0.05889746067690508
18,84.84471297264099,0.05745293012850229
19,66.49782013893127,0.055992873002472
20,48.95059394836426,0.05467609126463483
21,94.98256301879883,0.053597685374227474
22,43.18730115890503,0.052684299113283296
23,95.96232318878174,0.05172796343916178
24,128.9277560710907,0.050686736856297286
25,97.34515285491943,0.04971182211929831
26,84.23207187652588,0.048820278193600776
27,46.071653842926025,0.04793631078638371
28,74.38334202766418,0.04707814034888297
29,124.30674695968628,0.04637196751542044
30,52.8594012260437,0.04578435661193452
31,92.1494631767273,0.04528161741945987
